"target_model_name","target_table_name","target_column_name","source_model_name","source_table_name","source_column_name","derived_indicator","movement_expression","dependency_type","source_version"
"Converter","combo_casting_at_final_only","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","combo_casting_at_final_only","country_upper","RAW","customer","country","true","UPPER(c.country) AS country_upper","strict",""
"Converter","combo_casting_at_final_only","email_normalised","RAW","customer","email","true","CAST(UPPER(c.email) AS VARCHAR(100)) AS email_normalised","strict",""
"Converter","combo_casting_at_final_only","composite_key","RAW","orders","order_id","true","c.customer_id || ':' || o.order_id AS composite_key","strict",""
"Converter","combo_casting_at_final_only","composite_key","RAW","customer","customer_id","true","c.customer_id || ':' || o.order_id AS composite_key","strict",""
"Converter","combo_casting_at_final_only","contact_handle","RAW","customer","email","true","COALESCE(c.email, o.payment_method, 'unknown') AS contact_handle","strict",""
"Converter","combo_casting_at_final_only","contact_handle","RAW","orders","payment_method","true","COALESCE(c.email, o.payment_method, 'unknown') AS contact_handle","strict",""
"Converter","combo_casting_at_final_only","revenue","RAW","orders","amount","true","SUM(o.amount) AS revenue","strict",""
"Converter","combo_casting_at_final_only","revenue_fmt","RAW","orders","amount","true","CAST(SUM(o.amount) AS DECIMAL(18, 2)) AS revenue_fmt","strict",""
"Converter","combo_casting_at_final_only","revenue_band","RAW","orders","amount","true","CASE WHEN CAST(SUM(o.amount) AS DECIMAL(18, 2)) > 1000 THEN 'high' WHEN CAST(SUM(o.amount) AS DECIMAL(18, 2)) > 100 THEN 'mid' ELSE 'low' END AS revenue_band","strict",""
"Converter","combo_casting_at_final_only","country_clean","RAW","customer","country","true","COALESCE(c.country, 'unknown') AS country_clean","strict",""
"Converter","combo_casting_at_final_only","email_or_null","RAW","customer","email","true","NULLIF(UPPER(c.email), '') AS email_or_null","strict",""
"Converter","combo_casting_at_final_only","rollup_kind","SSF","","","true","'rollup_v1' AS rollup_kind","strict",""
"Converter","combo_casting_at_final_only","scale_factor","SSF","","","true","1.0 AS scale_factor","strict",""
