"target_model_name","target_table_name","target_column_name","source_model_name","source_table_name","source_column_name","derived_indicator","movement_expression","dependency_type","source_version"
"Converter","combo_ssf_loan_aggregates","customer_id","SSF","cust","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","combo_ssf_loan_aggregates","country_code","SSF","cust","country","true","UPPER(c.country) AS country_code","strict",""
"Converter","combo_ssf_loan_aggregates","email","SSF","cust","email","false","c.email AS email","strict",""
"Converter","combo_ssf_loan_aggregates","total_principal","SSF","loans","principal_amount","true","CAST(SUM(l.principal_amount) AS DECIMAL(18, 2)) AS total_principal","strict",""
"Converter","combo_ssf_loan_aggregates","avg_interest_pct","SSF","loans","interest_rate","true","CAST(AVG(l.interest_rate * 100) AS DECIMAL(6, 3)) AS avg_interest_pct","strict",""
"Converter","combo_ssf_loan_aggregates","loan_count","SSF","","","true","COUNT(*) AS loan_count","strict",""
"Converter","combo_ssf_loan_aggregates","most_recent_loan","SSF","loans","opened_at","true","MAX(l.opened_at) AS most_recent_loan","strict",""
"Converter","combo_ssf_loan_aggregates","exposure_tier","SSF","loans","principal_amount","true","CASE WHEN SUM(l.principal_amount) > 1000000 THEN 'tier-1' WHEN SUM(l.principal_amount) > 100000 THEN 'tier-2' ELSE 'tier-3' END AS exposure_tier","strict",""
"Converter","combo_ssf_loan_aggregates","country_clean","SSF","cust","country","true","COALESCE(c.country, 'unknown') AS country_clean","strict",""
"Converter","combo_ssf_loan_aggregates","rollup_kind","SSF","","","true","'loan_rollup' AS rollup_kind","strict",""
"Converter","combo_ssf_loan_aggregates","","RAW","customer","","false","","strict",""
