"target_model_name","target_table_name","target_column_name","source_model_name","source_table_name","source_column_name","derived_indicator","movement_expression","dependency_type","source_version"
"Converter","customer_revenue_bad","customer_id","SSF","joined","customer_id","false","joined.customer_id AS customer_id","strict",""
"Converter","customer_revenue_bad","total_amount","SSF","joined","total_amount","false","joined.total_amount AS total_amount","strict",""
"Converter","customer_revenue_bad","rn","SSF","joined","rn","false","joined.rn AS rn","strict",""
"Converter","customer_revenue_bad","customer_id","SSF","joined","customer_id","false","joined.customer_id AS customer_id","strict",""
"Converter","customer_revenue_bad","first_name","SSF","joined","first_name","false","joined.first_name AS first_name","strict",""
"Converter","customer_revenue_bad","last_name","SSF","joined","last_name","false","joined.last_name AS last_name","strict",""
"Converter","customer_revenue_bad","email","SSF","joined","email","false","joined.email AS email","strict",""
"Converter","customer_revenue_bad","phone","SSF","joined","phone","false","joined.phone AS phone","strict",""
"Converter","customer_revenue_bad","created_at","SSF","joined","created_at","false","joined.created_at AS created_at","strict",""
"Converter","customer_revenue_bad","source_system","SSF","joined","source_system","false","joined.source_system AS source_system","strict",""
"Converter","customer_revenue_bad","","SSF","raw_orders","","false","","strict",""
"Converter","customer_revenue_bad","","SSF","stg_customers","","false","","strict",""
