"target_model_name","target_table_name","target_column_name","source_model_name","source_table_name","source_column_name","derived_indicator","movement_expression","dependency_type","source_version"
"Converter","metadata_in_subqueries","financing_product_id","RAW","prp","product","false","prp.product AS financing_product_id","strict",""
"Converter","metadata_in_subqueries","financing_product_ssid","RAW","prp","sourcesystemidentifier","false","prp.sourcesystemidentifier AS financing_product_ssid","strict",""
"Converter","metadata_in_subqueries","repayment_method","RAW","prp","repaymentmethod","false","prp.repaymentmethod AS repayment_method","strict",""
"Converter","metadata_in_subqueries","portfolio_balance","RAW","fp","portfoliobalance","false","fp.portfoliobalance AS portfolio_balance","strict",""
"Converter","metadata_in_subqueries","filedeliveryentity","RAW","prp","file_delivery_entity","false","prp.file_delivery_entity AS filedeliveryentity","strict",""
"Converter","metadata_in_subqueries","xsdversion","RAW","prp","xsd_version","false","prp.xsd_version AS xsdversion","strict",""
"Converter","metadata_in_subqueries","periodversion","RAW","prp","period_version","false","prp.period_version AS periodversion","strict",""
"Converter","metadata_in_subqueries","deliveryset","RAW","prp","delivery_set","false","prp.delivery_set AS deliveryset","strict",""
"Converter","metadata_in_subqueries","redeliverynumber","RAW","prp","redelivery_number","false","prp.redelivery_number AS redeliverynumber","strict",""
"Converter","metadata_in_subqueries","filereportingdate","RAW","prp","file_reporting_date","false","prp.file_reporting_date AS filereportingdate","strict",""
"Converter","metadata_in_subqueries","filereportingperiod","RAW","prp","file_reporting_period","false","prp.file_reporting_period AS filereportingperiod","strict",""
