"target_model_name","target_table_name","target_column_name","source_model_name","source_table_name","source_column_name","derived_indicator","movement_expression","dependency_type","source_version"
"Converter","agg_customer_summary","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","agg_customer_summary","email","RAW","customer","email","false","c.email AS email","strict",""
"Converter","agg_customer_summary","country","RAW","customer","country","false","c.country AS country","strict",""
"Converter","agg_customer_summary","total_revenue","RAW","orders","amount","true","CAST(SUM(o.amount) AS DECIMAL(18, 2)) AS total_revenue","loose",""
"Converter","agg_customer_summary","order_count","SSF","","","true","COUNT(*) AS order_count","strict",""
"Converter","agg_customer_summary","last_order_date","RAW","orders","order_date","true","MAX(o.order_date) AS last_order_date","loose",""
"Converter","agg_customer_summary","country_clean","RAW","customer","country","true","COALESCE(c.country, 'unknown') AS country_clean","strict",""
"Converter","agg_customer_summary","rollup_kind","SSF","","","true","'customer_summary' AS rollup_kind","strict",""
"Converter","customer_latest_orders","customer_id","SSF","stg_customers","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","customer_latest_orders","email","SSF","stg_customers","email","false","c.email AS email","strict",""
"Converter","customer_latest_orders","latest_order_id","SSF","latest_per_customer","order_id","false","l.order_id AS latest_order_id","loose",""
"Converter","customer_latest_orders","latest_order_date","SSF","latest_per_customer","order_date","false","l.order_date AS latest_order_date","loose",""
"Converter","customer_latest_orders","latest_order_amount","SSF","latest_per_customer","total_amount","false","l.total_amount AS latest_order_amount","loose",""
"Converter","customer_latest_orders","days_since_last_order","SSF","latest_per_customer","order_date","true","DATEDIFF(CURRENT_DATE, l.order_date) AS days_since_last_order","loose",""
"Converter","customer_latest_orders","","SSF","raw_orders","","false","","strict",""
"Converter","customer_revenue","customer_id","SSF","stg_customers","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","customer_revenue","email","SSF","stg_customers","email","false","c.email AS email","strict",""
"Converter","customer_revenue","first_name","SSF","stg_customers","first_name","false","c.first_name AS first_name","strict",""
"Converter","customer_revenue","last_name","SSF","stg_customers","last_name","false","c.last_name AS last_name","strict",""
"Converter","customer_revenue","order_count","SSF","customer_totals","order_count","false","t.order_count AS order_count","strict",""
"Converter","customer_revenue","total_revenue","SSF","customer_totals","total_revenue","false","t.total_revenue AS total_revenue","strict",""
"Converter","customer_revenue","avg_order_value","SSF","customer_totals","avg_order_value","false","t.avg_order_value AS avg_order_value","strict",""
"Converter","customer_revenue","","SSF","raw_orders","","false","","strict",""
"Converter","customer_revenue_bad","customer_id","SSF","joined","customer_id","false","joined.customer_id AS customer_id","strict",""
"Converter","customer_revenue_bad","total_amount","SSF","joined","total_amount","false","joined.total_amount AS total_amount","strict",""
"Converter","customer_revenue_bad","rn","SSF","joined","rn","false","joined.rn AS rn","strict",""
"Converter","customer_revenue_bad","customer_id","SSF","joined","customer_id","false","joined.customer_id AS customer_id","strict",""
"Converter","customer_revenue_bad","first_name","SSF","joined","first_name","false","joined.first_name AS first_name","strict",""
"Converter","customer_revenue_bad","last_name","SSF","joined","last_name","false","joined.last_name AS last_name","strict",""
"Converter","customer_revenue_bad","email","SSF","joined","email","false","joined.email AS email","strict",""
"Converter","customer_revenue_bad","phone","SSF","joined","phone","false","joined.phone AS phone","strict",""
"Converter","customer_revenue_bad","created_at","SSF","joined","created_at","false","joined.created_at AS created_at","strict",""
"Converter","customer_revenue_bad","source_system","SSF","joined","source_system","false","joined.source_system AS source_system","strict",""
"Converter","customer_revenue_bad","","SSF","raw_orders","","false","","strict",""
"Converter","customer_revenue_bad","","SSF","stg_customers","","false","","strict",""
"Converter","customer_segment_analytics","customer_id","SSF","ranked_customers","customer_id","false","rc.customer_id AS customer_id","strict",""
"Converter","customer_segment_analytics","email","SSF","stg_customers","email","false","c.email AS email","loose",""
"Converter","customer_segment_analytics","first_name","SSF","stg_customers","first_name","false","c.first_name AS first_name","loose",""
"Converter","customer_segment_analytics","last_name","SSF","stg_customers","last_name","false","c.last_name AS last_name","loose",""
"Converter","customer_segment_analytics","order_count","SSF","ranked_customers","order_count","false","rc.order_count AS order_count","strict",""
"Converter","customer_segment_analytics","total_revenue","SSF","ranked_customers","total_revenue","false","rc.total_revenue AS total_revenue","strict",""
"Converter","customer_segment_analytics","avg_orders_overall","SSF","ranked_customers","avg_orders_overall","false","rc.avg_orders_overall AS avg_orders_overall","strict",""
"Converter","customer_segment_analytics","max_revenue_overall","SSF","ranked_customers","max_revenue_overall","false","rc.max_revenue_overall AS max_revenue_overall","strict",""
