"target_model_name","target_table_name","target_column_name","source_model_name","source_table_name","source_column_name","derived_indicator","movement_expression","dependency_type","source_version"
"Converter","source_derivations","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","source_derivations","email_clean","RAW","customer","email","true","UPPER(TRIM(c.email)) AS email_clean","strict",""
"Converter","source_derivations","email_domain","RAW","customer","email","true","SUBSTRING(c.email, STR_POSITION(c.email, '@') + 1) AS email_domain","strict",""
"Converter","source_derivations","country","RAW","customer","country","false","c.country AS country","strict",""
"Converter","source_derivations","order_date","RAW","orders","order_date","false","o.order_date AS order_date","loose",""
"Converter","source_derivations","amount_with_vat","RAW","orders","amount","true","o.amount * 1.21 AS amount_with_vat","loose",""
"Converter","source_derivations","amount_plus_tip","RAW","orders","amount","true","o.amount + o.amount * 0.05 AS amount_plus_tip","loose",""
"Converter","source_derivations","amount_after_discount","RAW","orders","amount","true","o.amount - o.amount * 0.10 AS amount_after_discount","loose",""
"Converter","source_derivations","composite_key","RAW","orders","order_id","true","c.customer_id || ':' || o.order_id AS composite_key","loose",""
"Converter","source_derivations","composite_key","RAW","customer","customer_id","true","c.customer_id || ':' || o.order_id AS composite_key","strict",""
"Converter","source_derivations","amount_tier","RAW","orders","amount","true","CASE WHEN o.amount > 100 THEN 'large' ELSE 'small' END AS amount_tier","loose",""
"Converter","source_derivations","amount_fmt","RAW","orders","amount","true","CAST(o.amount AS DECIMAL(18, 2)) AS amount_fmt","loose",""
"Converter","source_derivations","country_clean","RAW","customer","country","true","COALESCE(c.country, 'unknown') AS country_clean","strict",""
"Converter","source_derivations","rollup_kind","SSF","","","true","'derivation_demo' AS rollup_kind","strict",""
