"target_model_name","target_table_name","target_column_name","source_model_name","source_table_name","source_column_name","derived_indicator","movement_expression","dependency_type","source_version"
"Converter","window_ranked_orders","customer_id","RAW","customer","customer_id","false","c.customer_id AS customer_id","strict",""
"Converter","window_ranked_orders","order_id","RAW","orders","order_id","false","o.order_id AS order_id","strict",""
"Converter","window_ranked_orders","order_date","RAW","orders","order_date","false","o.order_date AS order_date","strict",""
"Converter","window_ranked_orders","amount","RAW","orders","amount","false","o.amount AS amount","strict",""
"Converter","window_ranked_orders","order_rank","RAW","orders","customer_id","true","ROW_NUMBER() OVER (PARTITION BY o.customer_id ORDER BY o.order_date) AS order_rank","strict",""
"Converter","window_ranked_orders","order_rank","RAW","orders","order_date","true","ROW_NUMBER() OVER (PARTITION BY o.customer_id ORDER BY o.order_date) AS order_rank","strict",""
"Converter","window_ranked_orders","customer_total","RAW","orders","customer_id","true","SUM(o.amount) OVER (PARTITION BY o.customer_id) AS customer_total","strict",""
"Converter","window_ranked_orders","customer_total","RAW","orders","amount","true","SUM(o.amount) OVER (PARTITION BY o.customer_id) AS customer_total","strict",""
"Converter","window_ranked_orders","previous_amount","RAW","orders","customer_id","true","LAG(o.amount, 1, 0) OVER (PARTITION BY o.customer_id ORDER BY o.order_date) AS previous_amount","strict",""
"Converter","window_ranked_orders","previous_amount","RAW","orders","amount","true","LAG(o.amount, 1, 0) OVER (PARTITION BY o.customer_id ORDER BY o.order_date) AS previous_amount","strict",""
"Converter","window_ranked_orders","previous_amount","RAW","orders","order_date","true","LAG(o.amount, 1, 0) OVER (PARTITION BY o.customer_id ORDER BY o.order_date) AS previous_amount","strict",""
"Converter","window_ranked_orders","delta_from_previous","RAW","orders","amount","true","o.amount - COALESCE(LAG(o.amount) OVER (PARTITION BY o.customer_id ORDER BY o.order_date), 0) AS delta_from_previous","strict",""
"Converter","window_ranked_orders","delta_from_previous","RAW","orders","customer_id","true","o.amount - COALESCE(LAG(o.amount) OVER (PARTITION BY o.customer_id ORDER BY o.order_date), 0) AS delta_from_previous","strict",""
"Converter","window_ranked_orders","delta_from_previous","RAW","orders","order_date","true","o.amount - COALESCE(LAG(o.amount) OVER (PARTITION BY o.customer_id ORDER BY o.order_date), 0) AS delta_from_previous","strict",""
